Number,Name,Script,Face,
0,최알바,안녕하세요,,
1,점장님,왔어? 이거 받아.,1111,
2,최알바,이게 뭐예요?,,
3,점장님,아야세 에리 브로마이드 상품.,,
4,점장님,살집 있는 손님이 주문해놓으신거야.,,
5,점장님,와서 찾으면 전해드려.,,
6,점장님,계산은 한거니까 돈은 받지말고.,,
7,점장님,하나 더 주문하신 건 내일 올거야.,,
8,점장님,먼저 가볼게.,3333,
9,최알바,넵 들어가세요!,1111,
10,,(딸랑 딸랑),,
11,최알바,어서오세요. ,4_1_1,4_1_1
12,박미자,굿 이브닝~~호홍^^*,,
13,,그녀는 매장을 한바퀴 돈다.,,
14,박미자,오늘~ 폐기 나오는 게 없나봐??,4_2_1,4_2_1
15,선택지,,,
16,,,,
17,최알바,폐기 가져가시려고요?,,
18,박미자,어머# 어머! 아니~~? 설마~,,
19,박미자,우리 총각 밥 못먹을까봐 그러지~^^♥,,
20,박미자,총각# 폐기로 끼니 때우잖아~~! ,,
21,선택지,,,
22,,,,
23,최알바,폐기 없어서 밥 못먹어요.,,
24,최알바,저 밥 좀 사주세요.,,
25,박미자,으#응? 총각~~….,,
26,박미자,그렇게 안봤는데# 무례하네.,4_2_2,4_2_2
27,박미자,원래 해달라고 하면 해주기 싫잖어~~ 호홍^^,,
28,박미자,내가 지금 그래~~ㅋ^^,4_1_2,4_1_2
29,박미자,근데# 총각…..,,
30,박미자,폐기 숨겨둔 거 아니지??,,
31,박미자,난 총각이 배고플까봐 신경써주는데..~~~ㅋ,,
32,최알바,그러게요. 저 굶어야 하네요.,,
33,최알바,폐기가 없거든요.,,
34,박미자,그래?? ,,
35,박미자,우리 총각 안쓰러워서 어떡해~~?,4_1_1,4_1_1
36,박미자,나도 같이 굶어줘야겠네~ㅋ^^♥,,
37,박미자,근데# 총각….,,
38,박미자,혼자 다 먹으려고 폐기 숨겨둔 건 아니겠지?,4_1_2,4_1_2
39,박미자,난 총각이 굶으면 나도 같이 굶어주는데..~~~ㅋ,,
40,박미자,만약 그런거면 나 진짜 섭섭해~~^^,,
41,선택지,,,
42,,,,
43,최알바,섭섭해 하지 마세요.,,
44,최알바,그렇게 저 신경써주는 분이 왜 밥은 안사준대요?,,
45,최알바,폐기 없어요.,,
46,최알바,있어도 안줄거니까 가세요.,,
