Number,Name,Scrpit
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상5,♪ ♬~ ♩~ (술과 육포를 계산대 위에 올려놓는다.)
3,최알바,"8,200원입니다."
4,진상5,뭐라고?
5,최알바,"8,200원입니다."
6,진상5,아니.. 그걸 몰라서 물어보냐?
7,진상5,왜 이렇게 비싸냐고.
8,진상5,육포 얼만데?
9,최알바,"육포는 6,200원 입니다. "
10,진상5,아따 졸~ㄹ 비싸네..
11,진상5,여기서 이거 하나 팔면 얼마나 남어?
12,최알바,저도 모르겠습니다.
13,최알바,요즘 육포 값이 비싸긴 해요.
14,진상5,술도 저~~ 옆에 편의점에서는 1500원이든데.
15,진상5,다 비싸게 받아 쳐묵네.
16,진상5,니 나한테 돈 더 받는거 아니냐?
17,선택지,
18,,
19,최알바,점장님 물욕에 눈이 멀어서 전부 다 비싸요.
20,최알바,점장님께 직접 따지면 가격이 내려갈지도..?
21,진상5,쯧쯧… 이런 놈을 직원으로 뽑았네.
22,진상5,점장을 팔아? 막돼먹은 X끼야
23,진상5,나 점장놈 친구인거 몰러?
24,최알바,……. ……….
25,진상5,기다려봐라. 
26,진상5,(휴대폰으로 최알바의 사진을 찍는다.)
27,선택지,
28,,
29,최알바,지금 뭐하시는거예요?
30,최알바,허락도 없이 사진을 왜;;
31,진상5,점장한테 보내려고.
32,진상5,걱정마라. 메시지 보내고 바로 삭제할거다.
33,최알바,돈 내고 찍으세요.
34,최알바,아니면 초상권 침해로 신고할거예요.
35,진상5,니가 초상권이 어딨어?
36,진상5,점장한테 꼰지를거다.
37,진상5,메시지만 보내고 삭제할텡께 신경꺼라
38,최알바,아니.. 이건 아니죠…
39,진상5,난 의리가 있는 사람이그든
40,진상5,친구 파는 X끼를 가만 냅두면 안되지.
41,최알바,진짜 친구분이세요..?
42,진상5,어. 방금 메시지 보냈다. 
43,최알바,모니터에 가격 뜨잖아요.  
44,최알바,제가 어떻게 사기를 쳐요… ㅠㅠ
45,진상5,니가 숫자 바꿀 수 있는 거 아녔냐?
46,진상5,이렇게까지 비쌀 리 없잖어.
47,최알바,그런 기능 없다구요!! ㅡㅡ
48,최알바,………. .
49,진상5,"아, ㅅ끼… 사람 무안하게 하네."
50,진상5,좀 모르면 그럴 수도 있지.
51,진상5,"설명을 해야지, 어디서 큰소리를 내?"
52,선택지,
53,,
54,최알바,죄송합니다. 
55,최알바,억울해서 순간 욱했나봐요.
56,진상5,농담이었는데 과하게 했나부다.
57,진상5,….. 미안하다.
58,최알바,네?? 어… 음…
59,진상5,내가 오늘 기분이 좀 좋아가지고..
60,진상5,실수를 좀 한 것 같다.
61,진상5,….. ….. .
62,최알바,"아, 아닙니다."
63,진상5,계산해줘.
64,최알바,넵. 결제 되셨습니다.
65,최알바,먼저 저를 의심하시니까 그랬죠. 
66,최알바,의심 안하셨으면 손님이 무안하실 일도 없었을걸요?
67,진상5,"니 잘났다, X끼야."
68,진상5,농담도 구분 못하냐?
69,진상5,븅ㅅ새X.
70,진상5,생각할수록 기분 더럽네.
71,최알바,븅X신이요?
72,진상5,"오늘 기분 좋았었는데, 니땜에 다 망쳤다."
73,진상5,됐다. 안살란다.
74,진상5,(휴대폰으로 최알바의 사진을 찍는다.) 
75,최알바,뭐하시는 겁니까?
76,진상5,느그 점장한테 꼰지를라고.
77,진상5,"말 들어보니까, 전 알바 대타라매?"
78,진상5,걔랑 친구라 하더만.
79,진상5,둘다 잘릴 준비 해라.
