Number,Name,Script
0,최알바,어휴# 벌써 밤이네.  한것도 없는데.
1,,♪ ♬ ♪ ♪
2,,누군가한테 전화가 왔다.
3,최알바,여보세요
4,김단짝,야 바쁘냐?  나 너한테 부탁할 게 있는데..
5,최알바,갑자기 전화하더니# 하는 말 하고는.
6,최알바,무슨 부탁인데?
7,김단짝,이번주만 편의점 알바 대타 뛰어줄 수 있어?  여행 가야해서 그래~
8, ,
9,최알바,그래 뭐# 전부터 가고싶어 했으니깐..  이번 한번만 해주는거다.
10,김단짝,역시..!! 너밖에 없다 친구야 ㅠㅠ 고마워!  손님 없는 개꿀 알바야.
11,김단짝,일은 내일부터 나가면 돼. 위치는..
12,최알바,어딘지 알아.  걱정말고# 잘 다녀와라
13,최알바,되겠냐? 싫어 새꺄  여행 갈 것 같으면 미리 구했어야지
14,김단짝,아 왜ㅠㅠ 내 주변에 편의점 알바 해본 애 너 밖에 없단 말이야..
15,김단짝,한번만 부탁할게# 응??
16,최알바,해줄게.  대신 갔다와서 소고기 사라.
17,김단짝,당연하지!! 여행 잘 다녀올게.  연락 매일 할 거니까 허튼 생각 하지 말구.
18,김단짝,그럼 일주일동안 수고해줘~
19,최알바,끊었네.  내일 일가야하니까 이만 자야겠다.
