Number,Name,Script,Face
0,주인공 독백,후.. 늦을 뻔 했네.,
1,점장님,왔어요?,
2,주인공,안녕하세요.,
3,점장님,인수인계표 뽑아놨어요.,
4,점장님,확인해봐요.,
5,주인공,아# 점장님! 말씀 낮추세요.,
6,점장님,그럴까? 안 그래도 불편하던 참이었는데.,
7,점장님,어제는… 별다른 일 없었어?,
8,,,
9,,,
10,주인공,네. 없었어요.,
11,주인공,너무 편한 알바 아니에요? 하하하하,
12,점장님,그러냐? 적성에 맞나보네.,
13,점장님,난 내가 하기 힘들어서 알바 쓰는건데.,
14,주인공,아뇨# 있었는데요.,
15,주인공,손님들이 하나같이 다 이상해요.,
16,점장님,쉿# 말 조심해.,
17,점장님,그러다 손님들이 들으면 어떡하려고!,
18,점장님,아무튼 수고해요.,
19,점장님,"참# 어제 말 못해준 게 있는데, ⓑ공병은 1인당 15병까지만 받아요.ⓔ",
20,점장님,ⓑ술# 담배 팔 때 미성년자 확인하고.ⓔ,
21,,,
22,,,
23,주인공,미성년자 구분을 어떻게 해요?,
24,주인공,요즘 애들 다 삭았어요.,
25,점장님,조금이라도 어려보이면 검사해.,
26,점장님,우리 단골은 대부분 늙었어.,
27,주인공,아 뭐# 식은 죽 먹기죠. ㅎㅎ,
28,주인공,항상 신분증 검사하면 되죠?,
29,점장님,그래# 잘 아네.,
30,주인공,"네, 알겠습니다.",
31,점장님,가볼게. 수고해라,
32,주인공,조심히 들어가세요.,
33,,(딸랑 딸랑),
34,주인공,어서오세요.,9_1_1
35,진상 9,…........,
36,주인공 독백,가만히 서서 뭐하시는거지?,
37,,,
38,,,
39,주인공,…….. ……,
40,진상 9,…....... ….............,
41,주인공 독백,아휴… 말을 걸어야 했나.,
42,주인공 독백,계속 가만히 계시네.,
43,주인공,…... …......,
44,진상 9 ,소# 손님이 왔는데… 말# 말을 안걸어! ,9_1_2
45,진상 9 ,떼잉~ 쯧.,
46,,,
47,,,
48,주인공 ,죄송합니다.,
49,주인공,신중하게 고르고 계신 줄 알았어요.,
50,진상 9 ,흠# 흠.,
51,진상 9,젊은이가 보# 보는 눈이 있구만.,
52,진상 9,오해해서 미# 미안허이.,9_1_4
53,주인공 독백,오해가 있었나 봐.,
54,주인공,아니에요. 저야말로 죄송합니다. ,
55,,,
56,주인공,계속 말 걸었는데요# 못들으신 것 같아요.,
57,진상 9,내# 내 귀가 안좋다는 말인가..?!,9_1_2
58,진상 9,나 아# 아직 창창하다네.,9_2_2
59,진상 9,"자네 모# 목소리가 개미 똥구멍만큼 자, 작은거겠지..!",9_2_2
60,주인공 독백,ⓡ개미똥구멍…!?ⓔ,
61,주인공 독백,지 귀가 안좋은거면서.,
62,주인공,제 목소리가 작았나봐요.,
63,주인공,죄송합니다.,
64,,,
65,,,
66,진상 9 ,…… …,9_1_1
67,진상 9,…,
68,진상 9,해# 햄버거를 고르고 있었다네.,9_1_4
69,진상 9,괘# 괜찮다면.. 불고기 버거 좀 차# 찾아주겠나?,
70,,,
71,,,
72,주인공,찾으시는 거 있으세요?,
73,진상 9,……… ………,9_1_1
74,주인공 독뱍,귀가 안좋으신가 봐. ,
75,주인공,저 기 요!!!!!!! 손님!!!!!!!!!!,
76,진상 9,!  귀# 귀청 떨어져~,9_1_3
77,진상 9 ,나# 나 아직 청춘이야 ! ,
78,,,
79,,,
80,주인공,오우.. 그럼요!,
81,주인공,요즘은 70 청춘이래요.,
82,진상 9,….. ….. ,
83,진상 9,자# 자네…,
84,진상 9,나# 난 곧 아흔을 바# 바라보고 있다네….,9_1_4
85,주인공 독백,화나신 건 아니겠지?,
86,주인공,헉 너무 젊어보이셔서..ㅠㅠ,
87,주인공,죄송합니다.,
88,진상 9,"허허… 오# 오랜만에 재밋는 친구가 와, 왔어.",9_1_1
89,진상 9,호# 혼자 살아서... 적적했는데. ,
90,진상 9,ⓑ마# 말 섞어줘서 고마우이.ⓔ,9_1_1
91,,,
92,주인공,불렀는데 못들으시니까 크게 불렀죠.,
93,주인공,귀청은 떨어지신거 아니에요?,
94,진상 9 ,예# 예끼! 이놈아.,9_2_3
95,진상 9,말 그# 그렇게 하면 모# 못써! ,
96,진상 9,가# 가정교육을 그렇게 못 받으니 이# 이런 곳에서 일하지! ,
97,주인공 독백 ,ⓡ가정교육 건드는 건 선 넘었지.ⓔ,
98,주인공 ,... 아 네. 죄송합니다.,
99,주인공,가정교육까지 들먹이진 말아주세요.,
100,진상 9,흠# 흠.,
101,진상 9,시# 심한 말 해서 미안하네.,9_1_4
102,진상 9,그# 그래도 자네가 예를 갖췄으면..,
103,진상 9,나# 나도 그렇게까진 말 안했을 걸세!....,
104,,,
105,,,
106,진상 9,아무튼.. 부# 불고기 버거를 사러 왔는데.. ,9_1_4
107,진상 9,차# 찾아줄 수 있나?,
108,,,
109,,,
110,,,
111,주인공,품절이에요. 어떡하죠?,
112,진상 9,…아까 위# 위쪽에 있었던 것 같은데..,
113,진상 9,기# 기분탓인가?,
114,진상 9,지# 지금도 보이는 것 같은데..,
115,진상 9,누# 눈 침침하다고 무시하는 게야?,
116,주인공 ,아씨.. 귀찮게스리.,
117,,,
118,,,
119,주인공,오해에요. 진짜 없어요.,
120,주인공,"그 상품은 2,900원짜리 치즈버거에요.",
121,진상 9,나# 나쁘지 않네.,
122,진상 9,이# 이걸로 사지.,
123,주인공,네. 계산했습니다.,
124,주인공 독백 ,아… 기빨린다.,
125,,,
126,,,
127,주인공,여깄습니다. 3200원 주시면 됩니다.,
128,진상 9 ,부# 불고기 버거 값이 3200원?,
129,진상 9,그# 그럴리가 없어.,
130,진상 9,어# 어제까지만 해도 2#900원이었단 마# 말일세….,
131,진상 9,지# 지금 2900원 밖에 없는데….,
132,진상 9,지# 집에 쌀도 다 떠# 떨어졌다네…,
133,진상 9,이 힘없는 느# 늙은이를 봐서 깎아주게.,
134,주인공 ,깎아주면 내 돈에서 까야한다.,
135,,,
136,,,
137,주인공 ,네. 이번만이에요.,
138,진상 9,2#900원만 주세요.,
139,진상 9,고# 고마우이~..,
140,진상 9,역시 조# 좋은 청년이야.,
141,주인공,ⓡ다음에는 꼭 가져오세요..ⓔ,
142,주인공 독백 ,내 피 같은 300원.. ㅠㅠ,
143,,,
144,주인공 ,안됩니다. ,
145,주인공,저도 알바생이라 어떻게 못해드려요.,
146,진상 9,떼잉.. 자# 자주 오는데. 300 원이 아깝나.,
147,진상 9,내 주# 주머니에 도# 돈있는 건 어# 어떻게 안게야? 얌체같이..,
148,주인공,…3#200원입니다.,
149,주인공 독백 ,와….미 X. 돈 있으면서 없는 척 한거였네.,
150,,,
151,진상 9,해# 햄버거는 전자레인지에 데# 뎁혀서 갈걸세.,
152,주인공 ,(딸랑 딸랑),
153,주인공 ,어서오세요.,
154,진상 1 ,야# 알바. 니 나 기억하제?,
155,,,
156,,,
157,네. 기억하고 있어요.,네. 기억하고 있어요.,
158,..먼 담배 피는지도?,…먼 담배 피는지도?,
159,,,
160,,,
161,주인공,던힐 라이트잖아요.,
162,주인공,다 기억하고 있다구요.,
163,진상 1 ,ⓡ니는.. 든힐이랑 엣쎄랑 구분도 몬하나?ⓔ,
164,진상 1 ,ⓡ닭대가리구만# 쯧쯧.ⓔ,
165,,,
166,주인공,에쎄 라이트잖아요.,
167,주인공,다 기억하고 있다구요.,
168,진상 1 ,어제 임팩트 기가 막히게 박고 갔드니 딱 기억하네. 그치?,
169,,,
170,,,
171,주인공 ,기억 안나는데요.,
172,진상 1 ,으째서 기억이 안날까# 알바야.,
173,,,
174,,,
175,주인공,손님들 한명한명 기억하기 어렵습니다.,
176,진상 1 ,내가 여길 을마나 오는디 다른 아덜이랑 같은 취급을 해? ,
177,,,
178,주인공,기억해봐야 저만 스트레스여서 그냥 기억에서 지웠습니다.,
179,진상 1 ,니 쩌번부터 말뽄새 참 지X가트다. 그치?,
180,진상 1 ,ⓡ사장은 이런 X끼 안짜르고 뭐하나 몰러.ⓔ,
181,진상 1 ,나 기억하잖여. 나 무슨 담배 피게?,
182,,,
183,주인공,..에쎄 라이트로 드리면 되죠?,
184,진상 1 ,니 성격 존 X 답답허네.,
185,진상 1 ,바로바로 딱 주지# 쫌,
186,진상 1,야# 돈,
187,주인공 독백 ,저 XXX.. 돈을 던져놓고 갔다.,
188,주인공 독백 ,그것도 죄다 동전이다.,
189,진상 9 ,저# 젊은이. 해# 햄버거,
190,진상 9,.. …........ …..,
191,진상 9,…... …전# 전자레인지에..,
192,진상 9,얼# 얼마나 돌려야 하는감..~?,
193,주인공 독백 ,아직도 안갔네..,
194,주인공 독백,나도 잘 모른다구요..,
195,,,
196,,,
197,주인공,뒷면에 써져있어요. ,
198,주인공,잘 읽어보세요.,
199,진상 9,예# 예끼~..!....,
200,진상 9,안# 안써져있는걸 내가 읽는다고 이# 읽어지나.,
201,주인공,40초 돌리시면 될거에요.,
202,진상 9 ,그# 그래? 고마우이..~,
203,진상 9,요# 요즘에는 포장지에 아# 안적어놔서.. ….,
204,진상 9,,
205,진상 9,,
206,주인공 ,글자가 조금 작아서 그렇지# 포장지에 써져 있어요. ,
207,주인공,돋보기 끼는 건 어떠세요?,
208,진상 9,.도# 돋보기는 다 늙은 노친네들이나 끼는거야!,
209,진상 9,"난 아직이라고 … 흠, 흠.",
210,주인공 ,요즘 안적혀 나오긴 하죠.,
211,주인공,글씨도 워낙 작구요.,
212,주인공,필요하시면 항상 저한테 물어보세요.,
213,진상 9,저# 젊은이들은 이# 인터넷이 있어서,
214,진상 9,이런 정보 빠# 빠르지?!,
215,진상 9,10년만 젊었어도..,
216,진상 9,이런 건 안물어봤을 거야.,
217,진상 9,난 이만 가보겠네.. 다음에 보자구 .. ,
218,주인공 독백 ,엥.. 그냥 가셨다. ,
219,주인공 독백 ,이럴거면 데우는 시간은 왜 물어본거야;,
