Number,Name,Script,Face 
0,,(딸랑 딸랑),
1,최민준 ,안녕하세요.,a1_1_1
2,최민준 ,바구니 좀 쓸게요.,
3,최알바,ⓐ뭐 저리 많이 산담..ⓔ,
4,최알바,ⓐ많이 살 것 같으면 차라리 마트를 가지.ⓔ,
5,최민준 ,계산이요. 현금으로 할게요.,
6,최알바,"넵. 37,500원입니다.",
7,최알바 ,ⓐ이걸 손으로 다 들 수 있을까?ⓔ,a1_1_5
8,최알바 ,ⓐ너무 많은데.ⓔ,
9,,,
10,,,
11,최알바,봉투값 100원 더 주시면 됩니다!,
12,최민준 ,아.. 500원짜리 동전 꺠야하네.,
13,최민준 ,공짜로 주죠? 한두푼 팔아주는 것도 안니고.,a1_1_5
14,최알바 ,ⓐ뭐지.. 이 당당한 요구는ⓔ,
15,최알바,봉투 100원인데 필요하세요?,
16,최민준 ,그럼 이 많은 걸 다 들고가란 거에요?,a1_1_3
17,최민준 ,그리고 이렇게 많이 사가는데 봉투값까지 받으려고요?,
18,최알바 ,ⓐ?? 이사람 사회 생활 가능한가;;ⓔ,
19,최알바 ,"네.. 암요, 그래야죠.",
20,최알바 ,봉투는 그냥 드릴게요.,
21,최민준 ,저기요. 비꼬는겁니까?,a_1_3
22,최민준 ,조심 좀 하죠.,
23,최민준 ,이것도 서비스직 아닌가요?,
24,최알바,죄송합니다.,
25,최알바,다음부턴 주의하겠습니다.,
26,최알바,안녕히 가세요.,
27,최민준 ,"네, 다음부터 조심하세요.",
28,최알바 ,ⓐ오늘 액땜하는 날인가보다.ⓔ,
29,,(딸랑 딸랑),
30,최알바 ,어서오세요.,a5_1_1
31,서지혜,담배 아이스볼트 GT 3개 주세요.,
32,최알바 ,이분.. 어제보다 더 피곤해 보이네.,
33,,,
34,,,
35,최알바,어제 오신 분 맞죠? ㅎㅎ ,
36,최알바,오늘 유난히 더 피곤해 보이세요..!,
37,서지혜,저 아세요?,
38,최알바,어제 박카스 위치 물어보셨던 분이잖아요.,
39,서지혜,불편하게.. 후.,a5_1_4
40,서지혜,.. 이 모양 이 꼴로 나오는데 누가 기억하면 기분 좋을 것 같나요?,
41,최알바 ,아.. 미처 생각 못했네요.,
42,최알바 ,죄송합니다.,
43,최알바 ,담배는 여깄습니다.,
44,최알바 ,13#500 원입니다.,
45,최알바 ,안녕히 가세요.,
46,최알바 ,ⓐ인사도 안해주시네…ⓔ,
47,,(딸랑 딸랑),
48,최알바,어서오세요.,6_1_1
49,이하늘 ,말보로 비스타 2개 줘요.,
50,최알바 ,ⓐ화장도 진하고 어려보이는데.ⓔ,
51,최알바 ,ⓐ급식인가?ⓔ,
52,,,
53,,,
54,최알바,신분증 보여주세요.,
55,이하늘  ,집에 두고왔는데.. 저 성인이에요.,6_1_2
56,이하늘  ,아# 사진으로 보여줘도 되죠?,
57,,,
58,,,
59,최알바,네. 사진으로라도 보여주세요.,
60,최알바,대신 다음엔 꼭 신분증 지참해주세요.,
61,최알바,넵! 알겠습니다. ㅎㅎ ,
62,최알바,ⓡ9000원입니다. 안녕히가세요.ⓔ,
63,이하늘 ,안녕히 계세요~ ^^,
64,,,
65,최알바,사진은 안됩니다. 실물만 받아요.,
66,최알바,죄송하지만 다음에 신분증 지참하셔서 와주세요.,
67,이하늘 ,저 집이랑 여기랑 멀어서 그래요.,6_1_4
68,이하늘 ,다음에 올 때 신분증 보여드릴게요.,
69,이하늘 ,한번만요..,
70,,,
71,,,
72,최알바,야# 너 민짜지?,
73,최알바,딱봐도 어려보이는게 누굴 속여.,
74,최알바,안 줄꺼니까 그냥 가라.,
75,이하늘 ,아.. X 발 두고봐요.,6_1_3
76,이하늘 ,한번이라도 판거 걸리기만 해봐. 뒤졌어.,
77,,,
78,최알바,ⓐ쪼그만 게 저러니까 그냥 웃기다.ⓔ,
79,최알바,ⓐ이제 슬슬 마감해야겠다. ⓔ,
