Number,Name,Script,Memo
0,,(딸랑 딸랑),
1,최알바,어서오세요.,
2,일반 2,네 안녕하세요 ^^~,
3,일반 2,담배 좀 사려는데..,
4,일반 2,……. ……..,
5,일반 2,……. ……..,
6,,,
7,,,"A, B"
8,일반 2,아.. 우리 이이가 심부름을 시켰거든요.,A
9,일반 2,담배 이름을 몰라서 찾고 있었어요.,
10,일반 2,………. …  ………….,
11,일반 2,….. ……….   ………….,B
12,일반 2,… 앗! 미안해요.,
13,일반 2,심부름이라.. 담배 이름을 모르거든요.,
14,일반 2,음 ….  …….. ……,
15,,,
16,,,"A, B"
17,최알바,어떻게 생겼는데요?,A
18,최알바,찾는 거 도와드릴게요.,
19,일반 2,흰색이에요.,
20,일반 2,누리끼리하구..,
21,일반 2,맞다# 그림도 있었어요!,
22,최알바,혹시 고래인가요?,
23,최알바,디쓰플라스랑 디쓰  이 둘 중 하나인 것 같네요.,
24,일반 2,어머나! 맞아요!!,
25,일반 2,근데.. 이 둘중에 어떤건지ㅠㅠ,
26,최알바,둘 다 사가시는 건 어떠세요?,
27,일반 2,5#000 원만 갖고 나와서 안될 것 같아요.,
28,최알바,천천히 보시고# 찾으면 말씀 주세요.,B
29,일반 2,네~ㅎㅎ^^  …… ………,
30,일반 2,찾았어요!,
31,일반 2,저….~기랑 저~~기# 저 흰색이요.,
32,최알바,아# 이건가요? (디쓰 플라스),
33,일반 2,헉… 똑 같은 게 하나 더 있네요. (디쓰),
34,최알바,살짝 달라요.  둘 중 어떤거로 드릴까요?,
35,일반 2,잘 모르겠어요.. ㅠㅠ,B 종료
36,일반 2,음.. 제대로 안 사가면 혼날 것 같은데..,
37,일반 2,어차피 혼날 거# 이참에 담배 끊으라고 해야겠네요.,
38,일반 2,은단 하나 사갈게요^^ ㅎㅎ,
39,최알바,?? 아.. 넵!  결제 되셨습니다.,
40,일반 2,안녕히 계세요~,
41,최알바,넵 안녕히 가세요!,
