Number,Name,Script
0,,♪ ♬ ♪
1,최알바,ⓐ김단짝이다.ⓔ
2,최알바 ,여보세요# 야.
3,김단짝,오.. 바로 받네.
4,김단짝,오늘은 별 일 없었어?
5,,
6,,
7,최알바 ,오늘 손님중에 너 지인이 왔었어.
8,최알바 ,진짜?? 어떻게 생겼는데?
9,최알바 ,눈 째지고 피어싱 낀 애
10,김단짝,아.. 내 정보 절대 알려주지 마라.
11,,
12,,
13,김단짝,아니..!! 왜 알려줘!! ㅠㅠ
14,김단짝,나 걔 존 X 싫다고!!!!
15,김단짝,손절각 잘 쟀는데 니가 다 망쳤어
16,최알바 ,아니;; 몰랐잖어..
17,김단짝,혹시라도 걔랑 친해질 생각 하지마라
18,김단짝,걔 신천지야.
19,김단짝,나까지 끌어들이려고 했어;
20,김단짝,존 X 이상한 곳 끌고갔다니까?
21,김단짝,빨리 탈출해서 망정이지.
22,최알바  ,어쩐지.. 연락 안받는다고 찾아왔었어.
23,김단짝,소름돋는 X 끼..
24,김단짝,너도 조심해라.
25,김단짝,이만 끊을게
26,,
27,최알바 ,오늘 손님 중에서 싸움짱 취객 있었어ㅋㅋ
28,최알바 ,허공에 주먹질 하더라.
29,김단짝,설마 얼굴 늘어진 아재?
30,최알바 ,ㅇㅇ 어떻게 알았냐?
31,김단짝,나한테도 그 X 랄 했어
32,김단짝,일주일에 2 번은 그러는 듯
33,김단짝,그 사람.. 그냥 치켜세워주고 숙여주면 별 지랄 안해
34,김단짝,근데 비위 맞춰주는것도 힘들걸~ ㅋㅋ
35,최알바 ,이게 개꿀알바라고?
36,김단짝,헬이라고 하면 안했을거잖아.
37,김단짝,고생해라. 
38,김단짝,끊는다~~ 파이팅
39,최알바 ,엉.. 잘 자라.
