Number,Name,Script,Face,Face2
0,최알바,점장님!  저 출근 했습니다.,,
1,점장님,어# 안녕~ ㅎㅎ,111,
2,점장님,오늘 일찍왔네?,,
3,최알바,어쩌다보니까 일찍 나왔어요,,
4,점장님,내일이 마지막날인가?,,
5,점장님,정들었는데... 아쉽다.,333,
6,점장님,뭐 먹고싶은 거 없어?,,
7,점장님,내일 내가 일이 있어서 못 볼텐데…,,
8,점장님,마지막이니까 뭐라도 사줄게.,,
9,,,,
10,,,,
11,최알바,괜찮습니다!!,,
12,최알바,저는 해드린 게 없는데요..ㅋㅋ,,
13,점장님,음… 그러면 마실거라도 사줄게.,,
14,최알바,헉.. 저 정말 괜찮아요,,
15,점장님,(아이스 커피를 가져온다.),333,
16,점장님,이거라도 마시면서 일해,,
17,점장님,값 싼거니까 거절하지 말고.,,
18,최알바,ⓖ아# 넵! 감사합니다..!ⓔ,,
19,최알바,저.. 그러면 든든한 도시락 사주세요.,,
20,최알바,일할 때 끼니를 별로 못챙겨서요. ㅠㅠ,,
21,점장님,아# 손님들이 폐기 가져가지?,,
22,최알바,네… 그것 때문에 먹을게 없어요.,,
23,점장님,(가장 비싼 도시락을 가져온다.),,
24,점장님,굶으면 말을 하지 그랬어,,
25,점장님,젊어서 허기 많이 질텐데.,111,
26,최알바,ⓖ헐 ㅠㅠ 완전 감동이에요.ⓔ,,
27,최알바,감사합니다.,,
28,점장님,내일까지 파이팅 해!,,
29,점장님,가볼게.,,
30,최알바,옙! 조심히 들어가세요,111,
31,,(딸랑 딸랑),,
32,최알바,어서오세요.,7_1,
33,서형준 ,네.,,
34,서형준 ,화장실 키좀 주세요.,,
35,서형준 ,볼일이 좀 급하네요ㅋㅋ,7_2,
36,최알바,(화장실 키를 건넨다.) ,,
37,,(딸랑 딸랑),0,
38,최알바,어서오세요.,,9_1_1
39,노구십,아# 안녕허이…,,
40,노구십,여# 여기 죽이나 제# 젤리같은거 있수?,,
41,노구십,햄버거가 머# 먹고싶은데…,,
42,노구십,오# 오늘따라 이# 이빨이 아파서…~,,
43,최알바,저~~쪽에 있어요# 손님.,,
44,노구십,(젤리를 가지고 온다.),,
45,노구십,계# 계산좀~~,,
46,최알바,2#000원입니다.,,
47,노구십,너무 비# 비싸~~…!,,9_1_2
48,노구십,지# 지금 1#500원밖에 어# 없는디…,,
49,,(딸랑 딸랑),,
50,서형준 ,할배요. 비켜보세요.,7_1,
51,노구십,으잉…..,,9_1_2
52,서형준 ,말보루 블랙민트 두개요.,,
53,최알바,9#000원입니다.,,
54,노구십,예# 예끼 이눔아~~!,,9_1_3
55,노구십,내# 내가 먼저 왔어..~~!,,
56,노구십,너 이 마# 망할X끼 ! 씹X끼 !,,
57,노구십,저# 저번에 새치기한 놈… 마# 맞지?!,,
58,서형준 ,아 거 ㅆㅂ 영감탱이가…,7_2,
59,서형준 ,난 할배 기억 안나요~ㅋㅋ,,
60,노구십,오# 오잉…~~?  내# 내가 잘못 봤나?,,
61,서형준 ,나이를 거꾸로 쳐드셨나,,
62,서형준 ,사람 잘못봤으면 사과부터 해야지,,
63,서형준 ,예의 범절 다시 배워야겠네ㅋㅋ,,
64,서형준 ,옛날분이라 교육 못받아서 그런가?,,
65,노구십,…….. ……..,,
66,,말이 너무 심하신 것 같은데.. 어쩌지,,
67,,,,
68,,,,
69,최알바,당장 사과드리세요.,,
70,최알바,말씀이 너무 지나치잖아요.,,
71,서형준 ,이 노망난 할배가 저한테 먼저 욕했는데요?,,
72,서형준 ,할배가 사과하면 저도 할게요ㅋ,,
73,노구십,떼# 떼잉..~~~!! ,,9_1_4
74,노구십,노# 노망이라니~! ,,
75,노구십,나 아직 처# 청춘이야…~!!,,
76,노구십,요# 요즘 것들은..~노# 노인 공경이 없어,,9_1_3
77,서형준 ,먼저 시비 걸고 노인공경 타령하네,,
78,서형준 ,노인공경이 가불기냐?  가불기냐고~ ㅆㅂㅋ,,
79,최알바,저런 막돼먹은 인간은 무시하세요.,,
80,서형준 ,막돼먹은 인간?ㅋㅋ  하# 나….,,
81,서형준 ,야. 저 할배가 나한테 먼저 욕한거 못봤냐?,,
82,노구십,이# 이잉..~~~!!,,
83,노구십,거# 거울부터 봐~!  멧돼지 같은 게…,,
84,노구십,관상부터 요# 욕먹게 생겼구만 뭘…~!!,,
85,노구십,떼잉~~! 쯧,,
86,서형준 ,아니 ㅆㅂ 말하는거 보라고~~,,
87,서형준 ,저 할배가 병X이잖아,,
88,서형준 ,ⓡ알바 사리분별 ㅈ같네 진짜ⓔ,,
89,,,,
90,,,,
91,최알바,저 할아버지 꼰대잖아요.,,
92,최알바,이해하세요.,,
93,최알바,할아버지도 사과하세요.,,
94,최알바,나이가 벼슬은 아니잖아요?,,
95,서형준 ,그래요~ 할배~ 사과해요 ㅋㅋ,,
96,노구십,…… …… . (상처),,9_1_4
97,노구십,….. 미# 미안허이.,,
98,노구십,느# 늙으니깐.. 기# 기억력이 안좋아서….,,
99,,아.. 꼰대라는 말은 하지 말걸.,,
100,,ⓡ마음이 너무 안좋다.ⓔ,,
