Number,Name,Script ,Face
0,,(딸랑 딸랑),
1,최알바 ,어서오세요.,
2,서지혜,담배….. &$@# 한 개 주세요.,
3,최알바,ⓐ목소리가 작아서 안들린다.. 어쩌지?ⓔ,
4,,,
5,,,
6,,,
7,,,
8,최알바,담배 어떤거로 드리면 될까요?,
9,서지혜,…. 아이스불트 GT로 주세요.,
10,서지혜 ,콜록 콜록….,
11,서지혜,. …목아픈데… 한번에 알아들었으면 얼마나 좋아요?,
12,최알바,죄송합니다. ㅠㅠ,
13,,,
14,최알바,말보루 골드 한 개 맞으시죠?,
15,서지혜 ,… 아뇨.,
16,서지혜,아이스불트 GT 달라고 했는데요.,
17,서지혜 ,…목아픈데… 한번에 알아들었으면 얼마나 좋아요?,
18,최알바 ,죄송합니다. ㅠㅠ,
19,,,
20,최알바,아이스불트 GT 한 개 맞으시죠?,
21,서지혜,네. 맞아요.,
22,,,
23,최알바,4#500원입니다.,
24,최알바,안녕히 가세요.,
25,,(딸랑 딸랑),
26,최알바 ,어서오세요.,
27,김건우 ,안녕하세요 !,
28,,오랜만입니다~ ㅎㅎ,
29,,저 혹시 애몬드 브리즈 바나나맛 있나요?,
30,최알바,어… 잘 모르겠는데요.,
31,최알바,점장님께 말씀드려서 주문해놓을까요?,
32,김건우 ,앗! 아닙니다 ㅎㅎㅎ,
33,,있으면 사려고 한 것 뿐이에요.,
34,,,
35,,,
36,김건우 ,아 ㅎㅎ 좋아하는 건 아닙니다!,
37,김건우 ,재료로 쓸 예정이에요.,
38,김건우 ,제가 비건 베이킹 원데이 클래스를 운영하거든요.,
39,김건우 ,비건 베이킹에 그 음료가 꼭 들어가요.,
40,김건우 ,비건 베이킹에 관심 있으세요?,
41,,,
42,김건우 ,비건 베이킹이라고 들어보신 적 있어요?,
43,김건우 ,사실 제가 비건 베이킹 하고있거든요.,
44,김건우 ,원데이 클래스도 운영하고 있구요~ ,
45,김건우 ,비건 베이킹에 관심 있으세요?,
46,,,
47,,,
48,김건우 ,제가 만든 빵 사진 보여드릴게요 ㅎㅎ,
49,,시간 나면 원데이 클래스 한번 오세요~ ,
50,,,
51,김건우 ,아.. ㅎㅎ 그럼 관심사 따로 없어요?,
52,,제가 별의 별 자격증 다 있거든요.,
53,,그래서 운영하는 클래스도 많구요!,
54,주인공,아…. 네.,
55,김건우 ,약속 시간까지 조금 남아서 그러는데..,
56, ,잠깐 여기 있어도 되나요? ㅎㅎ,
57,주인공,네# 그렇게 하세요.,
58,,(딸랑 딸랑),
59,일반 4,또 봽네요 ^^,
60,최알바,엇# 안녕하세요,
61,김건우 ,아시는분..? 이세요?,
62,최알바,단골 손님이세요.,
63,일반 4,뭔가 먹을만한 게 없네요/,
64,일반 4,혹시 냉장식품은 몇 시에 들어오나요?,
65,최알바,새벽에 들어와서 자세히는 모르겠어요.,
66,최알바,죄송합니다.,
67,최알바,ⓐ김건우 은 카운터 주변을 계속 서성인다.ⓔ,
68,일반 4,?? ㅎㅎ;; 아..네 알겠습니다.,
69,일반 4,수고하세요~,
70,최알바,안녕히 가세요.,
71,김건우 ,손님이 생각보다 별로 없나봐요.,
72,김건우 ,일하면서 많이 심심하겠어요.,
73,,이 근처에 사시는거예요?,
74,최알바,ⓐ이건 개인정보 아닌가….ⓔ,
75,,,
76,,,
77,최알바,네. 엄청 가깝진 않지만요.,
78,김건우 ,아~ 그러시구나,
79,김건우 ,엄청 가깝진 않으면 △△동인가?,
80,,아니면 □□동? ㅎㅎㅎ,
81,,저는 거리가 조금 있어요!,
82,최알바,엄청 멀리 살아요. ,
83,최알바,버스타고 가야 해요.,
84,,아~ 저도 거리가 조금 있어요!,
85,,어디 사는지 여쭤봐도 되려나~?ㅎㅎ,
86,,,
87,,,
88,최알바,가까운 것도 아닌데..,
89,,여기는 어쩌다 오셨어요?,
90,김건우 ,비건 베이킹 수강생들이 이 지역에 많이 살길래# 놀러왔어요~,
91,,아까 약속 있다고 한 게 수강생들이랑 잡은 약속이에요!,
92,,거리 있다구요?,
93,,막차 놓치면 안되는데# 얼릉 가세요.,
94,,아.. 아니에요~~!,
95,,곧 있으면 약속 시간이구# 오늘 숙박할거라 괜찮아요 ^^,
96,,,
97,,,
98,최알바,약속 시간 다 되지 않았어요?,
99,,약속 시간.. 음.. ,
100,,아! 연락해보니 조금 늦는다네요! ㅎㅎ,
101,,수강생들이 카페가자고 하는데# 혹시 주변에 좋은 카페 있을까요?,
102,,이 동네는 많이 안와봐서 잘 모르거든요.,
103,,역 앞 사거리쪽에 괜찮은 카페 있어요.,
104,,오~ 카페 많이 다니세요?,
105,,커피 좋아해요? 커피?^^,
106,,저 커피 원데이 클래스도 하거든요~,
107,,혹시 커피에 관심 있으세요?,
108,최알바,맞다. 김단짝이랑은 어떻게 됐어요?,
109,최알바,연락은 됐어요?,
110,김건우 ,연락이 안돼요 ㅠㅠ,
111,,MBTI 아세요? ,
112,,제가 파워 EN이라~ 친화력이 좋거든요.,
113,,단짝이가 부담스러웠나봐요.,
114,,단짝이는 조금 소심한 편이잖아요.,
115,,저는 이해해요~^^ㅎㅎ,
116,,단짝이가 소심하긴 하죠.,
117,,단짝이 없으니까 많이 외로워요~ ㅠㅠ,
118,,저랑 친구 좀 해주세요!,
119,,단짝이랑은 커피 얘기하다가 친해졌는데..,
120,,제가 커피 원데이 클래스도 운영하거든요~,
121,,단짝이도 수강생이었다가 친해진 케이스였어요.,
122,,혹시 커피엔 관심 없으세요?ㅎㅎ,
123,,,
124,,,
125,,커피에 관심 있는 편입니다.,
126,,네! 라떼 아트 사진 보여드릴까요??,
127,,아.. 네네.,
128,,(라떼 아트 사진을 여러장 보여준다.),
129,,이거 보세요! 완전 잘했죠!,
130,,오오… 재능 있으시네요.,
131,,하긴# 강의도 하시는데# 못하면 섭하죠.,
132,,아… ㅎㅎ 네. ,
133,,……….. …….. .,
134,최알바,제 유일한 관심사는 우리집 뽀삐입니다.,
135,김건우 ,앗 ㅎㅎ저 강아지 좋아해요 ^^,
136,,사진 보여주세요!,
137,최알바,아뇨. 기니피그입니다.,
138,,아.. 기니피그! ;;;,
139,,제 지인도 기니피그 키우는데.. 털이 완전 부드럽더라구요^^ㅎ,
140,,보기에 부드러운거지 만지면 빗자루인데요.,
141,,만져본 거 맞아요…?,
142,,아… 햄스터였나..? ㅎㅎ…,
143,,….. ……… .,
144,,아# 저 그래도 동물 되게 좋아하거든요~!,
145,김건우 ,저희 관심사도 비슷하고# 잘 맞을 것 같아요!,
146,김건우 ,연락하고 지내요 ㅎㅎ,
147,김건우 ,서로 맞춰가면서 친하게 지내고 싶어요~,
148,김건우 ,폰 번호 알려주세요 !,
149,,,
150,,,
151,최알바,폰 번호는 조금 그러네요.,
152,최알바,부담스럽기도 하고.,
153,,나중에 우연찮게 만나면# 그 때 생각해볼게요.,
154,김건우 ,폰 주시면 제 번호라도 찍어드릴게요..!,
155,최알바,ⓐ니 번호 찍어서 전화걸 거잖아;;ⓔ,
156,최알바,아뇨# 괜찮습니다.,
157,최알바,제 폰 번호를 드리는 건 부담스러워요.,
158,최알바,(종이랑 펜을 건넨다.),
159,최알바,적어주시면 생각해보고 먼저 연락 드릴게요.,
160,김건우 ,아 네!!,
161,김건우 ,(종이에 폰 번호를 적는다.),
162,김건우 ,연락 꼭 주셔야해요~! ㅎㅎ,
163,최알바,ⓐ이 번호는 미리 차단 해놔야겠다.ⓔ,
164,최알바,네. 그럴게요.,
165,김건우 ,이만 가볼게요.,
166,김건우 ,안녕히 계세요! ^^ ,
167,최알바,안녕히 가세요.,
168, ,(딸랑 딸랑),
169,최알바,어서오세요.,
170,혼모노,히사시부리,
171,혼모노,오랜만이군 자네.,
172,주인공,어제도 왔으면서 뭐가 오랜만이야..,
173,최알바,ⓐ어떻게 반응해야하지?ⓔ,
174,,,
175,,,
176,최알바,히.. 히사시부리 ,
177,혼모노,히.. 히사시부리 ,
178,혼모노,5252 날 기억해준거냐능 ,
179,혼모노,헤헤.. 고맙다능,
180,,동족이 생긴거같다능,
181,최알바,ⓐ아 망한거같다. 괜히 받아준거같아.,
182,최알바,저번이랑 똑같은빵 사러 온거지?,
183,혼모노,그..그렇다능,
184,,이제 내 최애가 바뀌어서 처음부터 다시 모아야한다능,
185,,"호..혹시 ""키스샷 아세로라오리온하트언더블레이드""에대해 아냐능?",
186,최알바,ⓐ아.. 뭔 개소리야 빨리가지ⓔ,
187,혼모노,날..무시한거냐능,
188,,와타시..저번에도 왔는데,
189,,내 동료가 될 수 있을줄 알았는데,
190,최알바,ⓐ너무 내가 심했나..ⓔ,
191,,,
192,,,
193,혼모노,모르는거냐능…,
194,혼모노,에이 재밍벗다능 가겠다능,
195,,ⓐ살짝 지루해진 씹덕이 나갔다.ⓔ ,
196,,,
197,최알바 ,어떻게 사람이름이 키스뭐시기야.,
198,,현실을 살아 씹덕아,
199,혼모노,…..,
200,혼모노,…............,
201,혼모노,너도.. 날 그렇게 보는거냐능,
202,혼모노,내가! 뭘 그렇게 잘못했는데!,
203,혼모노,정의의 이름으로 널 용서치않겠다.,
204,혼모노,뿅!,
205,,손가락 2개로 날 총쏘는 시늉을 하고 씩씩대고 나갔다.,
206,최알바 ,ⓐ어떻게 저런사람이 있을 수 있지..ⓔ,
207,최알바 ,ⓡ아 눈 배렸네…ⓔ,
