Number,Name,Script,Face,
0,,(딸랑 딸랑),,
1,이서연,안녕하세요!,a6_1_1,
2,이서연,오랜만이죠? 저 또 왔어요!,,
3,주인공,아# 안녕하세요.,,
4,이서연 ,말 편하게 하세요!,a6_1_2,
5,주인공,그럴까?,,
6,주인공 ,어차피 앞으로 볼 일 없긴 해서..ㅋㅋ,,
7,이서연,…네? 다음주부터 안나와요?,,
8,주인공,내가 말 안했었나?,,
9,이서연,알바 조언 구하고 싶었는데..ㅠㅠ,,
10,이서연 ,(머뭇거린다),,
11,,,,
12,,,,
13,주인공,그래? 전화번호 알려줄게.,,
14,주인공,궁금한 거 있으면 불어봐,,
15,이서연,헉.. 네. 감사합니다! ,a6_1_7,
16,,,,
17,주인공,아하하.. 음… 그래..,,
18,이서연,궁금한거 있으면 더 물어보고 싶어요,,
19,이서연,연락처 주실 수 있나요?,,
20,,,,
21,,,,
22,주인공,어.. 귀찮아..,,
23,이서연,아... 죄송해요..,,
24,이서연,귀찮으신줄 몰랐어요,a6_1_1,
25,,,,
26,주인공,그래 언제든지 물어봐. 다 알려줄게.,,
27,이서연,감사합니다!,a6_1_7,
28,,,,
29,이서연,아! 맞다. 커피 세잔 계산해주세요.,,
30,주인공,세 잔을 혼자 다 마셔?,,
31,이서연,아.. 시험기간이라서요.,a6_1_2,
32,이서연 ,커피마시고 밤새서 시험만점!,,
33,,,,
34,,,,
35,주인공,그래? 시험 잘봐. 너무 무리하지마,,
36,주인공,시험 망해도 돼,,
37,주인공,꼴등해도 대학은 갈 수 있어,,
38,이서연,그쵸? 조언 감사합니다 ㅎㅎ;,a6_1_7,
39,주인공,ⓐ그렇다고 공부하지 말라는건 아니었는데..ⓔ,,
40,,,,
41,주인공,꼭 공부 못하는 애들이 미리미리 안하고 시험 전날에 밤샌다고 커피마시더라,,
42,주인공,그렇게 마셔놓고선 시간 많이 남았다고 휴대폰 새벽까지 하다가 공부 잠깐 하고 피곤하다면서 자러가겠지.,,
43,주인공,뻔하다 뻔해~,,
44,이서연,저 진짜 밤샐거거든요..!,a6_1_1,
45,이서연,짜증나…!,,
46,주인공,ⓐ찔렸으면서..ⓔ,,
47,,(딸랑 딸랑),,
48,주인공,어서오세요~,a2_1_1,
49,김미경,안녕하세요 ^^,,2_1_1
50,김미경,혹시.. 와인 추천해줄 수 있을까요?,a2_1_2,
51,주인공,저도 잘 몰라서 어려울 것 같아요.,,
52,김미경,안주는 갈비찜이예요!,,
53,김미경,어울릴 와인이 있을까요?,,
54,,,,
55,,,,
56,주인공,갈비찜이면 역시 소주가 어울리죠.,,
57,김미경,어림없는 소리!,,
58,김미경,갈비찜은 레드와인과 궁합이 좋다구요!!,,
59,,,,
60,주인공,화이트 와인 어떨까요?,,
61,김미경,^^; 음.. 화이트 와인은 치즈가 어울리는데요?,,
62,김미경,와인에 대해 잘 모르시는군요..ㅎㅎ,,
63,김미경 ,고기 음식은 레드와인이랑 찰떡궁합이라구요!,,
64,주인공,ⓐ왜 물어본거야;;ⓔ,,
65,김미경,(레드 와인을 가져온다),,
66,김미경,얼마인가요?,,
67,주인공,32#000원입니다.,,
68,김미경,새# 생각보다 가격이 있네요 ^^ㅎㅎ,,
69,김미경,다음에 살게요!,,
70,김미경,원래 사려던 게 없어서 그런거니 오해 말아요!,a2_1_4,
71,김미경,갑자기 화이트 와인이 땡기기도 하구요..,,
72,김미경,안녕히 계세요 ㅎㅎ^^,,
73,주인공,ⓐ화이트 와인도 파는데…;;ⓔ,,
74,,(딸랑 딸랑),,
75,주인공,어서오세요.,a1_1_1,
76,최민준 ,네. 안녕하세요.,,
77,최민준,혹시.. 고양이용품 사가는 사람 있습니까?,,
78,,,,
79,,,,
80,주인공,잘 모르겠어요. 왜요?,,
81,최민준 ,이 근처 사는데# 길고양이가 많아졌어요.,a1_1_3,
82,최민준,집 앞에 참치캔이 놓여있질 않나…,,
83,최민준,캣맘인지 뭔지# 아주 극성입니다.,,
84,최민준,시끄러워서 잠을 못자요.,,
85,최민준,혹시라도 의심가는 사람 있으면 팔지마세요.,,
86,주인공,없습니다. 안팔려요.,,
87,최민준,그럼 다행이고요.,,
88,최민준,요즘 길고양이 많아진 거 아시죠?,,
89,최민준,혹시라도 캣맘인 것 같으면 팔지마세요.,a1_1_5,
90,최민준,밤마다 시끄럽게 울어대서 골치아픕니다.,,
91,,,,
92,,,,
93,주인공,최대한 팔지 않겠습니다.,a1_1_3,
94,최민준,네 감사합니다,,
95,주인공,안녕히 가세요.,,
96,주인공,그러고 싶지만.. 원칙상 안될 것 같네요.,,
97,최민준,동네 주민이 불편해 하잖아요.,,
98,최민준,제가 설명이 부족했나요? 후….,a1_1_5,
99,최민준,ⓡ유도리있게 장사합시다.ⓔ,,
100,주인공,죄송합니다…,,
101,,(딸랑 딸랑),,
102,주인공,어서오세요..,4_1_1,
103,박미자,총각~!!♥ 호호 ^^,,
104,박미자,화장실 키좀 줘~~..,,
105,,,,
106,,,,
107,주인공,쓰고 가져다주셔야 해요.,,
108,박미자,그럼~~! 당연하지^^~,,
109,박미자,참# 휴지도 조금만 줘용♥,,
110,주인공,휴지는.. 구매해서 쓰셔야죠.,,
111,박미자 ,어머.. 화장실이잖아~~!ㅋ,,
112,박미자,잠~깐! 쪼~끔! 쓰는걸 사야 해?,,
113,박미자,조금만 나눠줘~~♥ㅋ^^,,
114,박미자,나 급하단 말야…! ><ㅋ,,
115,주인공,안되겠는데요. 죄송합니다,,
116,박미자,어머머머# 왜 안돼~~..?,4_1_2,
117,박미자,편의점은 서비스업이라 해줘야 하는거야~,4_2_2,
118,박미자,총각이 일한지 얼마 안돼서 모르나보네~^^ㅎ,,
119,주인공,물건 사지도 않으셨잖아요.,,
120,박미자,글쎄# 물건이 중요한 게 아니래두~~?!,,
121,박미자,나 급해.. 총각..~! ><,,
122,박미자,정 뭣하면.. 휴지라도 나눠줘~♥ㅋ,,
123,박미자 ,나머진 풀숲에서 해결할게~~^^,,
124,주인공,ⓐ두루마리 휴지가 있긴 한데….ⓔ,,
125,,,,
126,,,,
127,주인공,(휴지를 뜯어준다.),,
128,박미자,자기!.. 나 큰거야..~^^,4_2_1,
129,박미자 ,어머. 힛# 킥! 부끄러워라ㅋ^^,,
130,박미자,조금만 더 줘~~♥,,
131,박미자,아님… 휴지 째 빌려줘~ 이따 갖다줄게!,,
132,주인공 ,못드려요. 따로 구매하세요.,,
133,박미자,어머. 자기..~ 왜그래~~?,,
134,박미자 ,그거 조금 빌려주기 아까워?,,
135,박미자,생리현상에 쓰이는건데~~~?,4_2_2,
136,박미자,째째하다 증말..~~!ㅋ,,
137,박미자,두루마리 휴지 줘봐! ,,
138,박미자,쓰고 가져다 줄게~~♥,,
139,,,,
140,,,,
141,주인공,진짜 가져다주셔야 해요..ㅠ,,
142,박미자,그래~~! ^^♥ 호호,,
143,박미자 ,내가 변비라 조금 걸려~~ 기다리지마!ㅋ,4_2_1,
144,주인공,네.. 안녕히 가세요,,
145,,,,
146,주인공,뭘 빌려 미친년아,,
147,주인공 ,새 휴지 줄거야? 아니잖아,,
148,주인공,나같으면 실랑이 할 시간에 휴지를 사겠다.,,
149,주인공 ,바지에 지리든 말든 니 맘대로 하세요.,,
150,박미자,뭐# 뭐!?,,
151,박미자,지갑을 안가져와서 그렇거든!?ㅋ,,
152,박미자,그리고 왜 반말이야~~?,,
153,박미자,미쳤나봐 별꼴이야~~!ㅋ 참나!,,
154,,ⓡ취식대 티슈곽에서 휴지를 모두 챙긴다.ⓡ,,
155,박미자,총각 때문에 살다 살다 사람 입닦는 휴지로 X 꼬를 다 닦아보네. 응?,,
156,박미자 ,네~ 진귀한 경험 하세요~,,
157,,(딸랑 딸랑),,
158,무주택,저어…. 안녕하세요..,3_1_1,
159,주인공,네 어서오세요,,
160,무주택,…..... …........,,
161,무주택,담배를 가져왔는데요…,,
162,무주택,이게 4#500 원이거든요.,,
163,주인공,환불인가요?,,
164,무주택,그렇다고 볼 수 있지요…,,
165,무주택,이걸 줄 테니… 돈으로 바꿔주세요.,,
166,무주택,(담배를 건넨다.),,
167,주인공,ⓐ겉 비닐이 없다.ⓐ,,
168,주인공,ⓐ일단 새 상품은 아니군.ⓐ,,
169,주인공,ⓐ…..... …........ⓐ,,
170,주인공,ⓐ열어보니# 꼬질꼬질한 담배들이 들어차있다.ⓐ,,
171,주인공,ⓐ심지어 한 개비 모자란 듯…ⓐ,,
172,주인공,ⓐ아무래도 어디서 주워온 것 같다.ⓐ,,
173,주인공,여기서 구매한겁니까?,,
174,무주택,….가능한지나 봐주세요.,,
175,주인공 ,ⓐ해주려면 내 돈에서 빼야하는데…어쩌지ⓐ,,
176,,,,
177,,,,
178,주인공,환불 안됩니다. 죄송합니다.,,
179,무주택,어째서지요?,3_1_2,
180,무주택,새 것과 다름없습니다.,,
181,무주택,… …. 한번만 부탁드립니다,,
182,무주택,3#000 원이라도 좋아요.,,
183,주인공,ⓐ저런 표정으로 말하면… 휴.ⓐ,,
184,주인공,ⓐ그래. 마지막 날인데… 3#000원쯤은 괜찮지 않을까?ⓐ,,
185,,,,
186,,,,
187,주인공,딱 봐도 새것이 아니잖아요.,,
188,주인공,장난칩니까?,,
189,무주택 ,행색이 안좋다고 물건까지 단정짓지 마세요.,3_3_1,
190,주인공,비닐 뜯겨있지# 담배는 꼬질꼬질하지…,,
191,주인공,주워오신거죠?,,
192,주인공,어딜 가도 돈으로 안바꿔줄겁니다.,,
193,무주택 ,…....... …........,,
194,무주택,그런 말까진 안해도 되잖아요.,3_2_1,
195,무주택,안 해줄거면 됐어요.,,
196,주인공,안녕히 가세요.,,
197,,,,
198,주인공,… 이번만입니다.,,
199,주인공,다음부터는 이러지마세요,,
200,무주택,… 주의하겠습니다,3_1_1,
201,무주택,ⓡ그치만 이건 생계의 문제라 간섭은 듣고싶지 않네요ⓡ,3_3_1,
202,주인공 독백,ⓐ좋은 마음으로 해준건데; 기분 나쁘다.ⓐ,,
203,주인공,아. 네,,
204,주인공,…이런 담배는 어딜 가도 안받아줄겁니다.,,
205,주인공,잘 먹고 잘 사세요.,,
206,무주택,…. 그럴겁니다.,,
207,무주택 ,생색내지 말아요.,,
208,주인공,안녕히 가세요. ,,
209,,,,
210,,,,
211,주인공,ⓡ돈으로 바꿔드릴게요.ⓡ,,
212,무주택,정말.. 정말 감사합니다.,3_1_2,
213,무주택 ,받아주는 곳이 없었거든요.,,
214,무주택,앞으로.. 자주 부탁드릴게요.,,
215,주인공,ⓐ앞으로 볼 일 없을텐데…ⓐ,,
216,무주택,안녕히 계세요.,,
217,주인공,예. 안녕히 가세요. ,,
218,주인공,ⓐ이제 끝이구나.ⓐ,,
219,주인공,ⓐ다시는 발 들이지 말자.ⓐ,,
