Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상 7,(통화중) 아니 걔 X 밥이라니까.  그냥 바르지~ 보여줘? 보여줘!?ㅋㅋ
3,진상 7,ㅋㅋㅋㅋㅋㅋ 야 뒤진다.
4,,아씨 나한테 말하는 줄 알았네..
5,,문신충 육수 X 끼.  딱봐도 한심하게 사는게 보인다# 보여.
6,진상 7,(통화중)어~ ㅋㅋ 그거 짭이라매?  야 잠깐 끊자.
7,진상 7,어# 저기. 말보루 블랙민트 하나요.
8,최알바,손님.. 결제는…
9,진상 7,잠깐만요~ㅋㅋ
10,,진상 7(남)은 구찌 지갑과 BMW 차 키를 계산대 앞에 올려놓는다.
11,,어쩌라는거지…
12,,벙찐 나를 보고# 그는 흐뭇한 미소를 짓는다.
13,진상 7,이 카드로 결제해주세요ㅋ
14,,[POS] 잔액이 부족합니다.  결제방식을 다시 선택해주세요
15,,
16,,
17,최알바,손님.. 잔액 부족이라고 뜨는데요?
18,진상 7,아 ㅆㅂ 돈이 왜 없어?  다시 긁어봐.
19,,니 돈이 없는 걸 왜 나한테 물어 병 X 아..
20,최알바,다시 긁어도 잔액 부족이라고 뜨는데요?
21,진상 7,아니 하.. 니가 잘못 긁은거겠지.
22,최알바,결제가 안된다는데요.  혹시 다른 카드 있으세요?
23,진상 7,그럴리가 없는데 ㅆㅂ  잘못 긁은 거 아냐?
24,진상 7,다시 긁어봐.
25,,돈이 없으니까 안긁히지 병 X 아..
26,최알바,다시 긁어보니 잔액 부족이라고 뜨네요.
27,진상 7,내가 돈이 없어보이냐? ㅆㅂ  없는 말 막 지어내고있어.
28,진상 7,아.. 개빡치네. 걍 현금으로 할게.
29,최알바,넵 결제 되셨습니다.
30,,자연스럽게 말 놓네.. 가오충 X 끼.
31,,그는 쪽팔린지 거스름 돈을 주머니에 우겨넣고 서둘러 밖으로 나갔다.
