Number,Name,Scrpit
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,,"아윽, 술냄새ㅡㅡ"
3,진상2,우웩 우웩 으으으….
4,,으 드러워 토 좀 하지 말지;# 저걸 어떻게 치워 ㅠㅠㅜ
5,선택지,
6,,
7,최알바,"손님, 좀 취하신 것 같은데# 토 좀 참아보세요."
8,진상2,뭐…뭐!! 싹퉁바가지 알바 X 끼 아니야?# 잘됐다. 넌 혼 좀 나야 돼
9,진상2,우웩 우웨에에에엑
10,,진상은 있는 힘껏 없던 음식물도 만들어서# 토해냈다. ㅈ된것 같다.
11,,하… 치우는 건 개고통인데 엮이긴 싫다.# 그냥 있어야지.
12,진상2,으…. 으.. 머리 아파# 야 숙취해소제 어딨냐?
13,선택지,
14,,
15,최알바,죄송합니다. 손님은 왕과도 같은 분인데…# 무례를 저질렀습니다.
16,최알바,미천한 제가 열심히 치울테니# 마음껏 속 비우세요…..ㅠ
17,,비굴하지만 이렇게 해서라도 상대의 마음을 돌려놓고 싶었다
18,진상2,"으…으 그래, 봐주마.# 니 주제를 알아야지."
19,,진상 2(남)는 흡족스럽고 비열한 표정으로 편의점에서 나갔다
20,,뭘 사러온지도 까먹은걸까..
21,,야 술 먹었으면 곱게 집가서 잠이나 쳐자지# 편의점에 와서 왜 행패야?
22,,어라? 이게 아닌가?
23,,이 X 끼.. 한번 ㅈ돼봐라
24,,이 개 X 끼는 편의점 육포 코너를 엉망 진창으로 만들어 놓고는 그냥 가버렸다.
25,,마감 때 고생 좀 할 것 같다..
26,,저쪽으로 가면 숙취해소제 진열대 있습니다.
27,,제발 빨리 결제하고 사라져…. 
28,,으….으 속쓰려…. # 야! 계산해
29,,결제가 끝나자마자 그는 바로 자리를 떠났다.
30,,"그가 있었던 시간은 비록 5 분이었지만,# 1 시간 같이 느껴졌다."
31,최알바,눈 없어? 니가 알아서 찾아봐
32,,바짝 열이 오른 진상은 계산대 주변에 보란듯이 토를 하기 시작했다.
33,,너무 당황스러운 나머지 가만히 바라볼 수밖에 없었다.
34,진상2,아 X팔~~ 시원해라
35,,매장은 그의 흔적들로 더러워졌다.
36,,치울 생각에 정신이 혼미해진다.
37,,휴,천천히 정리해야겠다...
