Number,Name,Script,Face
0,,(딸랑 딸랑),
1,최알바,어서오세요.,
2,박미자,에구머니# 총각~ 반가워 호호,4_1_1
3,박미자,혹시 유통기한 지난거 있을까?,
4,최알바,ⓐ이게 말로만 듣던 폐기 빌런인가? ⓔ ,
5,최알바,ⓐ조금 있긴 한데… 줘야 되나..ⓔ,
6,박미자,"아이, 참~ 부담갖지마  ",
7,박미자,우리 총각이 먹을 건 빼고 줘도 돼!,
8,,,
9,,,
10,최알바,네 있어요. 조금 드릴게요.,
11,박미자,어머머머 총각~ 너~~무 센스있당~! ,
12,박미자,너무너무 고마워 ~ ♥,
13,박미자,앞으로 잘 부탁해ㅋ  자주 들를게 ~~^^,
14,최알바,ⓐ후.. 괜히 양심에 찔린다.  점장님 곤란해지는 건 아니겠지?ⓔ,
15,최알바,아.. 안됩니다.,
16,박미자,아 왜~ 어차피 못 팔텐데 ^^  그냥 줘# 응?,4_1_2
17,최알바,ⓐ점장님이 내 양심에 맡긴댔는데.. 어쩌지ⓔ,
18,,,
19,,,
20,최알바,여기요… 가져가세요.,
21,박미자,진작 그럴것이지.  ,4_2_1
22,박미자,나 살짝 화날뻔했어~~  조심해ㅋ,4_2_2
23,최알바,ⓐ그녀는 폐기 식품이 담긴 바구니를 야무지게 털었다.ⓔ,
24,최알바,싫다고요,
25,박미자,어머ㅋ 얘 좀 보게?  ,4_2_1
26,박미자,니까짓게 뭔데 싫다 마다야?,4_2_2
27,박미자,알바 주제에 주라면 줄 것이지,
28,박미자,ⓡ지금까지 여기서 가져간 폐기# 본사랑 구청에 싹 다 찌를거야~!  알겠어?ⓔ,
29,최알바,ⓐ독설에 섞인 그녀의 침이 나의 얼굴에 계속 튀었다.ⓔ,
30,최알바,ⓐ살짝 화가나지만 어쩔 수 없다.ⓔ ,
31,최알바 ,ⓐ참아야지.. 그냥 주는 게 나았을 것 같기도.ⓔ,
32,박미자,에이 짜증나!,
33,,,
34,박미자,생각보다 많네ㅋㅎ  다 못들겠는걸~?^^,4_2_1
35,최알바,ⓐ봉투 달라고 눈치주는건가..ⓔ,
36,,,
37,,,
38,최알바,봉투 드릴게요. 담아가세요.,
39,박미자,아유~~어쩜♥ 인심도 좋아!,4_1_1
40,최알바,ⓐ박미자(여)는 기분좋은 듯#  콧노래를 부르며 편의점 밖으로 나갔다.ⓔ,
41,최알바,많으면 몇 개 두고가세요.,
42,박미자,마침 내가 좋아하는 것들만 있어서~  ,4_1_1
43,박미자,두고가긴 너무너무 아쉬운뎅..,
44,최알바,가져갈 수 있을 만큼만 가져가세요.,
45,박미자,… .. 두고가면 아쉬운데~~~ㅎ?,4_1_2
46,최알바,ⓐ박미자(여)는 들으라는 듯이 혼자 여러차례 코웃음을 쳤다.ⓔ,
47,최알바,ⓐ그녀는 신경질적으로 문을 확 잡아당기며 편의점 밖으로 나갔다.ⓔ,
48,최알바,ⓐ호의가 권리인 줄 아네… 극혐이다.ⓔ,
