Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상 6,…레증 프렌치요구 두개 주세요.
3,,어# 저번에 왔던 손님이다.
4,,어떡하지?
5,,
6,,
7,최알바,"ⓡ4,500 원 결제했습니다.ⓔ"
8,진상 6,감사합니다. 안녕히 계세요~
9,,손님은 담배를 가지고 떠났다.
10,,나를 호구로 보진 않겠지?
11,최알바,신분증 보여주시겠어요?
12,진상 6,어# 저번에 주셨었는데.  기억안나세요?
13,,아.. 전에 신분증 검사 안하고  담배 팔았었는데.
14,최알바,음.. 그건 그때고.
15,,갑자기 느낌이 쎄하다.
16,진상 6,진짜… 안팔거에요?  이거.. 경고인데
17,,아 어떡하지 팔아야되나?
18,,전에 신분증 안보여주고 판게 좀 걸린다.
19,,
20,,
21,최알바,응~ 안돼 돌아가
22,진상 6,청소년한테 담배 팔면 벌금 무는 거 알죠?
23,진상 6,2000 만원 이하의 벌금이래요.  돈 있어요?ㅋ
24,,아씨..  어떻게 하든 내가 불리한 상황이다.
25,,
26,,
27,최알바,미안해 신고하지 말아줘  나 돈 없어..
28,최알바,줄 테니깐 앞으로 오지 말아줘..
29,최알바,오더라도 다음주부터 오고..  응?
30,진상 6,?? 아 뭐.. 그래요. 노력할게요.
31,진상 6,담배나 빨리 줘요.
32,최알바,여기..
33,,청소년에게 비굴하게 사정한 것이 마음 아프지만#  그래도 벌금은 안물으니 다행인 것 같다.
34,,ⓡ그래도 나보다 어린 X 끼한테 무시 받는 느낌이 드니 기분은 좋지 않다.ⓔ
35,최알바,애초에 팔지 말았어야 했는데…
36,최알바,앞으로 안오길 바래야지
37,최알바,신고해봐# 해봐!
38,진상 6,[뚜르르 -] 네# 여보세요.  경찰서죠?
39,,어..라?
40,,ⓡ그녀는 그자리에서 경찰을 불렀고#ⓔ
41,,ⓡ신분증 확인 없이 청소년에게 담배를 판 사실이 적발되어 큰 액수의 벌금을 물게 되었다.ⓔ
42,,ⓡ..그리고# 담배 판매 중지 처분까지 받아 점장님한테까지 피해를 주게 되었다.ⓔ
43,최알바,휴.. 인생 쓰다.
44,최알바,ⓡ알았어. 이번만이다.ⓔ
45,진상 6,진작 줄 것이지.  어차피 준 적 있는 마당에.
46,진상 6,돈은 놓고 갈게요~ㅋㅋ  다음에 또 봐요.
47,,그녀는 기분이 좋은지 살인미소(?)를 지으며 유유히 사라졌다.
48,진상 6,안가져왔어요.. 자꾸 깜빡하네요.
49,,담배 저번에 안팔길 잘했다.
50,,안된다고 해야지.
51,,이건 인생 선배로서 한마디 해야겠어.
52,최알바,저번에도 담배 사려고 하고.
53,최알바,너 고삐리지? 학교 어디야?
54,,앗 일진들의 금기어 학교묻기 선공!
55,,학교를 묻자 짜증이 많이 난 것 같다.
56,진상 6,(작은 목소리로) 아 X 발 X 끼
57,,담배 뚫기에 실패한 그녀는 유유히 사라졌다.
