Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상 6,안녕하세요  레증 프렌치요구 주세용
3,,쓰읍… 많이 쳐줘야 고딩같은데…  근데 뭔가 낯이 익기도 하고?
4,,
5,,
6,최알바,신분증 보여주세요.
7,진상 6,아 안가져왔는데
8,,그녀는 안가져왔다며 그냥 그자리에 서있었다.  뭐 어쩌라는건지.
9,최알바,신분증이 없으면 담배 못 팝니다.
10,진상 6,저 여기 담배 저번에 사갔었어요.
11,,
12,,
13,최알바,전 기억에 없는데요.  다른 알바생인 것 같네요.
14,최알바,저는 모르는 일이니#  검사하셔야 돼요.
15,진상 6,진짜 안돼요?
16,,내가 매우 단호했던걸까
17,,그녀는 포기하고 편의점에서 나갔다.
18,최알바,아 그래요? 그럼 인정입니다ㅋㅋ
19,진상 6,오~. 4500 원 놓고 갈게요.
20,최알바,"네. 4,500 원입니다"
21,,손님은 살짝 놀란 눈치였지만#  담배를 챙기고 떠났다.
22,,(딸랑 딸랑)
23,최알바,어서오세요.
24,진상 6,…레증 프렌치요구 두개 주세요.
25,,어# 저번에 왔던 손님이다.  어떡하지?
26,,
27,,
28,최알바,"4,500 원 결제했습니다."
29,,"손님은 담배를 가지고 떠났다. 
나를 호구로 보진 않겠지?"
30,최알바,신분증 보여주시겠어요?
31,진상 6,어# 저번에 주셨었는데.  기억안나세요?
32,,아.. 전에 신분증 검사 안하고  담배 팔았었는데.
33,최알바,음.. 그건 그때고.
34,,갑자기 느낌이 쎄하다.
35,진상 6,진짜… 안팔거에요?  이거.. 경고인데
36,,아 어떡하지 팔아야되나?  전에 신분증 안보여주고 판게 좀 걸린다.
37,,
38,,
39,최알바,응~ 안돼 돌아가
40,진상 6,청소년한테 담배 팔면 벌금 무는 거 알죠?
41,진상 6,2000 만원 이하의 벌금이래요.  돈 있어요?ㅋ
42,,아씨..  어떻게 하든 내가 불리한 상황이다.
43,,
44,,
45,최알바,미안해 신고하지 말아줘  나 돈 없어..
46,최알바,줄 테니깐 앞으로 오지 말아줘..
47,최알바,오더라도 다음주부터 오고..  응?
48,진상 6,?? 아 뭐.. 그래요. 노력할게요.  담배나 빨리 줘요.
49,최알바,여기..
50,,청소년에게 비굴하게 사정한 것이 마음 아프지만#  그래도 벌금은 안물으니 다행인 것 같다.
51,,그래도 나보다 어린 X 끼한테 무시 받는 느낌이 드니 기분은 좋지 않다.
52,최알바,애초에 팔지 말았어야 했는데…
53,최알바,앞으로 안오길 바래야지
54,최알바,신고해봐# 해봐!
55,진상 6,[뚜르르 -] 네# 여보세요.  경찰서죠?
56,,어..라?
57,,그녀는 그자리에서 경찰을 불렀고#
58,,신분증 확인 없이 청소년에게 담배를 판 사실이 적발되어 큰 액수의 벌금을 물게 되었다.
59,,..그리고# 담배 판매 중지 처분까지 받아 점장님한테까지 피해를 주게 되었다.
60,최알바,휴.. 인생 쓰다.
61,최알바,알았어. 이번만이다.
62,진상 6,진작 줄 것이지.  어차피 준 적 있는 마당에.
63,진상 6,돈은 놓고 갈게요~ㅋㅋ  다음에 또 봐요.
64,,그녀는 기분이 좋은지 살인미소(?)를 지으며 유유히 사라졌다.
65,진상 6,안가져왔어요.. 자꾸 깜빡하네요.
66,,담배 저번에 안팔길 잘했다.  안된다고 해야지.
67,,이건 인생 선배로서 한마디 해야겠어.
68,최알바,저번에도 담배 사려고 하고.  너 고삐리지? 학교 어디야?
69,,앗 일진들의 금기어 학교묻기 선공!
70,,학교를 묻자 짜증이 많이 난 것 같다.
71,진상 6,(작은 목소리로) 아 X 발 X 끼
72,,담배 뚫기에 실패한 그녀는 유유히 사라졌다.
